timestep,curve_wind,curve_const,curve_crude,curve_wind2,wind3,demand,wind,timestamp
61,0.678152513,1,0.9605,0.062963095,0.57425352,1,0.18,01.01.2020 15:15
62,0.595907271,1,0.997,0.069231296,0.483913338,1,0.2,01.01.2020 15:30
63,0.517092837,1,1.0525,0.076890691,0.413674269,1,0.22,01.01.2020 15:45
64,0.45935805,1,1.15,0.079110035,0.373026976,1,0.24,01.01.2020 16:00
65,0.347184356,1,1.189,0.071915703,0.293992626,1,0.26,01.01.2020 16:15
66,0.252,1,1.152,0.065774681,0.2268,1,0.28,01.01.2020 16:30
67,0.057916222,1,1.046,0.05777544,0.055904813,1,0.3,01.01.2020 16:45
68,0.11382026,1,0.969,0.059833601,0.117773196,1,0.32,01.01.2020 17:00
69,0.264,1,0.9525,0.060353913,0.2904,1,0.34,01.01.2020 17:15
70,0.588136533,1,0.9375,0.060463137,0.678244278,1,0.36,01.01.2020 17:30
71,0.620640783,1,0.973,0.061322689,0.737283096,1,0.38,01.01.2020 17:45
72,0.919736734,1,1,0.059736131,1,1,0.4,01.01.2020 18:00
73,0.916708884,1,0.9525,0.060140275,1,1,0.42,01.01.2020 18:15
74,0.878745173,1,0.9275,0.059653168,1,1,0.44,01.01.2020 18:30
75,0.860361332,1,0.887,0.058471415,0.946397465,1,0.46,01.01.2020 18:45
76,0.839165734,1,0.883,0.078789565,0.868309655,1,0.48,01.01.2020 19:00
77,0.765085765,1,0.8715,0.147077767,0.738514615,1,0.5,01.01.2020 19:15
78,0.718061448,1,0.8275,0.207293528,0.646255303,1,0.52,01.01.2020 19:30
79,0.186294045,1,0.72,0.270344188,0.157752141,1,0.54,01.01.2020 19:45
80,0.479116271,1,0.72,0.313393018,0.389071866,1,0.56,01.01.2020 20:00
81,0.632,1,0.8395,0.35574786,0.5056,1,0.58,01.01.2020 20:15
82,0.6810899,1,0.9525,0.396922973,0.553086869,1,0.6,01.01.2020 20:30
83,0.716033303,1,0.965,0.438543421,0.606330636,1,0.62,01.01.2020 20:45
84,0.766773407,1,0.953,0.479347806,0.690096066,1,0.64,01.01.2020 21:00
85,0.773036602,1,0.9605,0.469394019,0.746189323,1,0.66,01.01.2020 21:15
86,0.759305707,1,0.997,0.43955211,0.785676117,1,0.68,01.01.2020 21:30
87,0.711002651,1,1.0525,0.417960446,0.782102916,1,0.7,01.01.2020 21:45
88,0.652334586,1,1.15,0.398282821,0.752278043,1,0.72,01.01.2020 22:00
89,0.487054795,1,1.189,0.402258988,0.578591154,1,0.74,01.01.2020 22:15
90,0.336,1,1.152,0.404103321,0.4032,1,0.76,01.01.2020 22:30
91,0.071276311,1,1.046,0.411026144,0.084671876,1,0.78,01.01.2020 22:45
92,0.126852978,1,0.969,0.38888859,0.146287981,1,0.8,01.01.2020 23:00
93,0.264,1,0.9525,0.366728511,0.2904,1,0.82,01.01.2020 23:15
94,0.527712114,1,0.9375,0.349249431,0.546039364,1,0.84,01.01.2020 23:30
95,0.504307372,1,0.973,0.333383574,0.48679296,1,0.86,01.01.2020 23:45
